indicator,country,countryiso3code,date,value,indicator_code
"School enrollment, primary (% gross)",British Virgin Islands,VGB,2017,100.15019525383,SE.PRM.ENRR
"School enrollment, primary (% gross)",British Virgin Islands,VGB,2016,91.9933277731443,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brunei Darussalam,BRN,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brunei Darussalam,BRN,2024,94.8207871800668,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brunei Darussalam,BRN,2023,96.9292188716198,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brunei Darussalam,BRN,2022,99.134912983916,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brunei Darussalam,BRN,2021,101.387926832397,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brunei Darussalam,BRN,2020,102.709633966272,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brunei Darussalam,BRN,2019,103.033008586959,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brunei Darussalam,BRN,2018,104.179996298549,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brunei Darussalam,BRN,2017,104.567053854277,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brunei Darussalam,BRN,2016,105.726377387079,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bulgaria,BGR,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bulgaria,BGR,2024,95.2764205932617,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bulgaria,BGR,2023,95.4232177734375,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bulgaria,BGR,2022,95.8885192871094,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bulgaria,BGR,2021,95.6110992431641,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bulgaria,BGR,2020,96.5437622070312,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bulgaria,BGR,2019,96.4398803710938,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bulgaria,BGR,2018,96.7923202514648,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bulgaria,BGR,2017,97.5942993164062,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bulgaria,BGR,2016,98.0771636962891,SE.PRM.ENRR
"School enrollment, primary (% gross)",Burkina Faso,BFA,2025,,SE.PRM.ENRR
